YEAR,MonthYear,SubEventType,Record Count
2015,201501,1,2
2015,201501,2,1
2015,201501,3,14
2015,201501,4,7
2015,201501,5,14
2015,201501,6,173
2015,201502,1,39
2015,201502,2,19
2015,201502,3,215
2015,201502,4,127
2015,201502,5,227
2015,201502,6,3728
2015,201503,1,107
2015,201503,2,93
2015,201503,3,479
2015,201503,4,396
2015,201503,5,845
2015,201503,6,11836
2015,201504,1,136
2015,201504,2,139
2015,201504,3,521
2015,201504,4,437
2015,201504,5,807
2015,201504,6,12582
2015,201505,1,243
2015,201505,2,213
2015,201505,3,495
2015,201505,4,870
2015,201505,5,847
2015,201505,6,15028
2015,201506,1,205
2015,201506,2,94
2015,201506,3,720
2015,201506,4,659
2015,201506,5,839
2015,201506,6,16421
2015,201507,1,239
2015,201507,2,146
2015,201507,3,563
2015,201507,4,618
2015,201507,5,982
2015,201507,6,16864
2015,201508,1,426
2015,201508,2,94
2015,201508,3,848
2015,201508,4,618
2015,201508,5,1186
2015,201508,6,15506
2015,201509,1,619
2015,201509,2,205
2015,201509,3,971
2015,201509,4,1049
2015,201509,5,1391
2015,201509,6,33054
2015,201510,1,136
2015,201510,2,193
2015,201510,3,856
2015,201510,4,761
2015,201510,5,875
2015,201510,6,17898
2015,201511,1,181
2015,201511,2,175
2015,201511,3,643
2015,201511,4,376
2015,201511,5,651
2015,201511,6,17661
2015,201512,1,220
2015,201512,2,135
2015,201512,3,546
2015,201512,4,571
2015,201512,5,861
2015,201512,6,14484
2016,201601,1,153
2016,201601,2,116
2016,201601,3,664
2016,201601,4,456
2016,201601,5,897
2016,201601,6,16841
2016,201602,1,302
2016,201602,2,218
2016,201602,3,757
2016,201602,4,664
2016,201602,5,826
2016,201602,6,22249
2016,201603,1,168
2016,201603,2,231
2016,201603,3,836
2016,201603,4,624
2016,201603,5,1060
2016,201603,6,17124
2016,201604,1,259
2016,201604,2,149
2016,201604,3,769
2016,201604,4,599
2016,201604,5,915
2016,201604,6,17550
2016,201605,1,178
2016,201605,2,153
2016,201605,3,827
2016,201605,4,740
2016,201605,5,867
2016,201605,6,17166
2016,201606,1,330
2016,201606,2,187
2016,201606,3,988
2016,201606,4,751
2016,201606,5,988
2016,201606,6,19244
2016,201607,1,146
2016,201607,2,222
2016,201607,3,886
2016,201607,4,761
2016,201607,5,843
2016,201607,6,15679
2016,201608,1,162
2016,201608,2,99
2016,201608,3,725
2016,201608,4,576
2016,201608,5,791
2016,201608,6,14277
2016,201609,1,318
2016,201609,2,146
2016,201609,3,748
2016,201609,4,627
2016,201609,5,837
2016,201609,6,23850
2016,201610,1,196
2016,201610,2,142
2016,201610,3,695
2016,201610,4,454
2016,201610,5,1071
2016,201610,6,16160
2016,201611,1,232
2016,201611,2,214
2016,201611,3,717
2016,201611,4,535
2016,201611,5,1413
2016,201611,6,19227
2016,201612,1,326
2016,201612,2,349
2016,201612,3,999
2016,201612,4,1079
2016,201612,5,1307
2016,201612,6,22921
2017,201701,1,265
2017,201701,2,373
2017,201701,3,1071
2017,201701,4,631
2017,201701,5,1577
2017,201701,6,20284
2017,201702,1,194
2017,201702,2,119
2017,201702,3,768
2017,201702,4,601
2017,201702,5,1052
2017,201702,6,17990
2017,201703,1,402
2017,201703,2,127
2017,201703,3,785
2017,201703,4,448
2017,201703,5,1452
2017,201703,6,20621
2017,201704,1,357
2017,201704,2,122
2017,201704,3,1170
2017,201704,4,824
2017,201704,5,1460
2017,201704,6,30353
2017,201705,1,203
2017,201705,2,114
2017,201705,3,731
2017,201705,4,781
2017,201705,5,1511
2017,201705,6,18442
2017,201706,1,503
2017,201706,2,96
2017,201706,3,559
2017,201706,4,629
2017,201706,5,1590
2017,201706,6,18461
2017,201707,1,727
2017,201707,2,139
2017,201707,3,725
2017,201707,4,1032
2017,201707,5,1417
2017,201707,6,18077
2017,201708,1,635
2017,201708,2,185
2017,201708,3,958
2017,201708,4,600
2017,201708,5,1094
2017,201708,6,15935
2017,201709,1,372
2017,201709,2,122
2017,201709,3,605
2017,201709,4,397
2017,201709,5,1150
2017,201709,6,15685
2017,201710,1,153
2017,201710,2,74
2017,201710,3,577
2017,201710,4,569
2017,201710,5,869
2017,201710,6,12914
2017,201711,1,242
2017,201711,2,95
2017,201711,3,680
2017,201711,4,495
2017,201711,5,1370
2017,201711,6,19467
2017,201712,1,164
2017,201712,2,109
2017,201712,3,490
2017,201712,4,405
2017,201712,5,1004
2017,201712,6,12173
2018,201801,1,267
2018,201801,2,77
2018,201801,3,555
2018,201801,4,574
2018,201801,5,1010
2018,201801,6,12093
2018,201802,1,147
2018,201802,2,100
2018,201802,3,526
2018,201802,4,448
2018,201802,5,982
2018,201802,6,11021
2018,201803,1,372
2018,201803,2,268
2018,201803,3,1178
2018,201803,4,561
2018,201803,5,2191
2018,201803,6,20018
2018,201804,1,240
2018,201804,2,113
2018,201804,3,1478
2018,201804,4,782
2018,201804,5,3148
2018,201804,6,20809
2018,201805,1,546
2018,201805,2,199
2018,201805,3,877
2018,201805,4,787
2018,201805,5,2492
2018,201805,6,28555
2018,201806,1,537
2018,201806,2,134
2018,201806,3,1313
2018,201806,4,763
2018,201806,5,2544
2018,201806,6,20062
2018,201807,1,442
2018,201807,2,160
2018,201807,3,1494
2018,201807,4,763
2018,201807,5,2993
2018,201807,6,18085
2018,201808,1,532
2018,201808,2,511
2018,201808,3,1229
2018,201808,4,804
2018,201808,5,2570
2018,201808,6,20738
2018,201809,1,1112
2018,201809,2,298
2018,201809,3,1310
2018,201809,4,1044
2018,201809,5,2367
2018,201809,6,20076
2018,201810,1,757
2018,201810,2,246
2018,201810,3,1018
2018,201810,4,859
2018,201810,5,1821
2018,201810,6,19935
2018,201811,1,351
2018,201811,2,222
2018,201811,3,946
2018,201811,4,686
2018,201811,5,1762
2018,201811,6,19443
2018,201812,1,496
2018,201812,2,317
2018,201812,3,1167
2018,201812,4,1686
2018,201812,5,2108
2018,201812,6,21954
2019,201901,1,511
2019,201901,2,189
2019,201901,3,946
2019,201901,4,874
2019,201901,5,1646
2019,201901,6,20754
2019,201902,1,552
2019,201902,2,187
2019,201902,3,814
2019,201902,4,530
2019,201902,5,1488
2019,201902,6,18124
2019,201903,1,639
2019,201903,2,201
2019,201903,3,944
2019,201903,4,703
2019,201903,5,1715
2019,201903,6,18320
2019,201904,1,359
2019,201904,2,154
2019,201904,3,718
2019,201904,4,757
2019,201904,5,1261
2019,201904,6,16202
2019,201905,1,1572
2019,201905,2,205
2019,201905,3,1918
2019,201905,4,1026
2019,201905,5,3613
2019,201905,6,28578
2019,201906,1,968
2019,201906,2,276
2019,201906,3,1468
2019,201906,4,708
2019,201906,5,2529
2019,201906,6,23205
2019,201907,1,746
2019,201907,2,172
2019,201907,3,768
2019,201907,4,743
2019,201907,5,1756
2019,201907,6,18385
2019,201908,1,894
2019,201908,2,317
2019,201908,3,1375
2019,201908,4,711
2019,201908,5,2278
2019,201908,6,21832
2019,201909,1,704
2019,201909,2,167
2019,201909,3,954
2019,201909,4,716
2019,201909,5,1667
2019,201909,6,17826
2019,201910,1,785
2019,201910,2,276
2019,201910,3,631
2019,201910,4,548
2019,201910,5,1799
2019,201910,6,19179
2019,201911,1,392
2019,201911,2,230
2019,201911,3,647
2019,201911,4,554
2019,201911,5,1750
2019,201911,6,16909
2019,201912,1,609
2019,201912,2,160
2019,201912,3,840
2019,201912,4,596
2019,201912,5,1924
2019,201912,6,14934
2020,202001,1,1949
2020,202001,2,125
2020,202001,3,739
2020,202001,4,646
2020,202001,5,2226
2020,202001,6,24336
2020,202002,1,3061
2020,202002,2,145
2020,202002,3,1061
2020,202002,4,951
2020,202002,5,1961
2020,202002,6,28356
2020,202003,1,973
2020,202003,2,225
2020,202003,3,1003
2020,202003,4,589
2020,202003,5,1297
2020,202003,6,22031
2020,202004,1,379
2020,202004,2,214
2020,202004,3,1255
2020,202004,4,796
2020,202004,5,1941
2020,202004,6,22723
2020,202005,1,886
2020,202005,2,335
2020,202005,3,1778
2020,202005,4,947
2020,202005,5,2104
2020,202005,6,25071
2020,202006,1,822
2020,202006,2,371
2020,202006,3,1253
2020,202006,4,615
2020,202006,5,1534
2020,202006,6,18233
2020,202007,1,2616
2020,202007,2,1250
2020,202007,3,2039
2020,202007,4,1086
2020,202007,5,2111
2020,202007,6,25006
2020,202008,1,1393
2020,202008,2,520
2020,202008,3,1381
2020,202008,4,827
2020,202008,5,2492
2020,202008,6,21084
2020,202009,1,960
2020,202009,2,344
2020,202009,3,1320
2020,202009,4,608
2020,202009,5,1935
2020,202009,6,17843
2020,202010,1,378
